"Data Source","World Development Indicators",

"Last Updated Date","2024-06-25",

"Egypt, Arab Rep.","EGY","Population, total","SP.POP.TOTL","62334034","63601629","64892270","66200269","67515591","68831561","70152661","71485043","72826097","74172073","75523569","76873663","78232126","79636079","81134798","82761235","84529250","86422240","88404640","90424654","92442547","94447072","96442593","98423595","100388000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Population, total","SP.POP.TOTL","317181448","318003015","318761762","319433981","320258898","321310791","322547874","324125336","325885964","327682505","329380417","330922789","332645165","334274725","335360890","336151479","335419643","336159194","337302113","338466255","339533474","340616924","341164362","341783171","341888000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Population, total","SP.POP.TOTL","2204222","2196464","2195179","2206432","2237405","2292416","2374722","2481058","2600973","2719803","2826659","2918205","2996536","3062779","3119920","3170435","3213972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Population, total","SP.POP.TOTL","39724050","39889852","40057389","40223509","40386875","40567864","40850412","41431558","42187645","42921895","43653155","44397319","45226803","45954106","46362946","46576897","46742697","46773055","46620045","46480882","46444832","46484062","46593236","46796540","46719000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Population, total","SP.POP.TOTL","1436634","1415594","1399535","1386156","1390244","1396985","1388115","1379350","1370720","1362550","1354775","1346810","1340680","1337090","1334515","1331475","1327439","1322696","1317997","1314545","1315407","1315790","1317384","1321977","1317000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Population, total","SP.POP.TOTL","57047908","58883530","60697443","62507724","64343013","66224804","68159423","70142091","72170584","74239505","76346311","78489206","80674348","82916235","85233913","87639964","90139927","92726971","95385785","98094253","100835458","103603501","106400024","109224559","112079000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Population, total","SP.POP.TOTL","483998374","484680948","485523290","486168296","487179992","487975692","489161520","490504132","492340768","494330068","496303356","498179240","500032205","501924141","503408338","504631894","506031022","505640311","506739265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Population, total","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Population, total","SP.POP.TOTL","5107790","5124573","5139835","5153498","5165474","5176209","5188008","5200598","5213014","5228172","5246096","5266268","5288720","5313399","5338871","5363352","5388272","5413971","5438972","5461512","5479531","5495303","5508214","5515525","5533000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Population, total","SP.POP.TOTL","775425","784386","792736","800157","806303","811006","813925","815257","816076","817860","821604","827870","836190","845361","853637","859818","863449","865069","865608","866453","868627","872399","877459","883483","890000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Population, total","SP.POP.TOTL","59541899","59753100","59964851","60186288","60496718","60912500","61357430","61805267","62244886","62704895","63179351","63621381","64016225","64374984","64707040","65027507","65342780","65659809","65998687","66312067","66548272","66721256","66865144","66977107","67211000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Population, total","SP.POP.TOTL","45625","45615","45796","46096","46436","46735","46997","47233","47432","47600","47722","47792","47825","47820","47808","47814","47823","47843","47892","47960","48051","48173","48331","48497","49000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Population, total","SP.POP.TOTL","107529","108321","108480","108208","107781","107402","107173","107030","106901","106625","106129","105371","104444","103543","102975","102911","103450","104506","105926","107446","108895","110215","111459","112640","114000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Global Partnership for Education","FTI","Population, total","SP.POP.TOTL","860275761","882462062","904790522","927292443","949928926","972859826","996055980","1019543457","1043459246","1067952003","1093048432","1118722353","1145004093","1171974734","1199675906","1228385411","1257777330","1287490519","1317839747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
